                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
  13.00  1.000  5.15E+07 2.98E+07 4.08E+08 8.56E+05 1.64E+06 2.29E+06 2.75E+06 3.02E+06 3.08E+06 2.98E+06 2.73E+06 2.40E+06 2.02E+06 1.64E+06 1.28E+06 9.62E+05 6.99E+05 4.91E+05 3.33E+05 2.19E+05 1.39E+05 8.57E+04 5.11E+04 2.95E+04 1.65E+04 8.97E+03 4.72E+03 2.41E+03 1.19E+03 5.71E+02 2.66E+02 1.20E+02 5.25E+01
  14.00  1.038  1.17E+08 6.58E+07 9.17E+08 1.83E+06 3.51E+06 4.90E+06 5.92E+06 6.52E+06 6.70E+06 6.51E+06 6.02E+06 5.33E+06 4.53E+06 3.71E+06 2.93E+06 2.23E+06 1.64E+06 1.17E+06 8.05E+05 5.37E+05 3.47E+05 2.18E+05 1.32E+05 7.79E+04 4.45E+04 2.47E+04 1.33E+04 6.94E+03 3.52E+03 1.73E+03 8.26E+02 3.83E+02 1.73E+02
  15.00  1.074  2.59E+08 1.42E+08 2.01E+09 3.82E+06 7.33E+06 1.03E+07 1.24E+07 1.38E+07 1.42E+07 1.39E+07 1.29E+07 1.15E+07 9.88E+06 8.16E+06 6.50E+06 5.00E+06 3.73E+06 2.69E+06 1.88E+06 1.27E+06 8.34E+05 5.31E+05 3.28E+05 1.97E+05 1.15E+05 6.47E+04 3.55E+04 1.90E+04 9.82E+03 4.95E+03 2.42E+03 1.15E+03 5.31E+02
  16.00  1.109  5.57E+08 2.98E+08 4.29E+09 7.80E+06 1.50E+07 2.11E+07 2.56E+07 2.84E+07 2.94E+07 2.89E+07 2.71E+07 2.43E+07 2.10E+07 1.75E+07 1.40E+07 1.09E+07 8.22E+06 5.99E+06 4.24E+06 2.91E+06 1.93E+06 1.25E+06 7.84E+05 4.78E+05 2.83E+05 1.63E+05 9.10E+04 4.95E+04 2.62E+04 1.35E+04 6.72E+03 3.27E+03 1.55E+03
  17.00  1.143  1.17E+09 6.13E+08 8.96E+09 1.56E+07 3.01E+07 4.23E+07 5.15E+07 5.73E+07 5.97E+07 5.89E+07 5.54E+07 5.01E+07 4.35E+07 3.65E+07 2.96E+07 2.32E+07 1.77E+07 1.30E+07 9.30E+06 6.45E+06 4.35E+06 2.85E+06 1.81E+06 1.12E+06 6.74E+05 3.94E+05 2.24E+05 1.24E+05 6.68E+04 3.50E+04 1.78E+04 8.86E+03 4.28E+03
  18.00  1.177  2.41E+09 1.24E+09 1.83E+10 3.07E+07 5.92E+07 8.34E+07 1.02E+08 1.14E+08 1.19E+08 1.18E+08 1.11E+08 1.01E+08 8.85E+07 7.48E+07 6.11E+07 4.83E+07 3.70E+07 2.76E+07 1.99E+07 1.40E+07 9.52E+06 6.31E+06 4.07E+06 2.55E+06 1.56E+06 9.23E+05 5.33E+05 3.00E+05 1.64E+05 8.76E+04 4.55E+04 2.30E+04 1.13E+04
  19.00  1.209  4.86E+09 2.45E+09 3.68E+10 5.95E+07 1.15E+08 1.62E+08 1.98E+08 2.22E+08 2.32E+08 2.31E+08 2.20E+08 2.01E+08 1.77E+08 1.50E+08 1.23E+08 9.84E+07 7.61E+07 5.71E+07 4.16E+07 2.95E+07 2.03E+07 1.36E+07 8.89E+06 5.64E+06 3.49E+06 2.10E+06 1.23E+06 7.02E+05 3.91E+05 2.12E+05 1.12E+05 5.75E+04 2.88E+04
  20.00  1.240  9.65E+09 4.78E+09 7.27E+10 1.13E+08 2.19E+08 3.09E+08 3.79E+08 4.25E+08 4.47E+08 4.46E+08 4.26E+08 3.91E+08 3.46E+08 2.96E+08 2.45E+08 1.97E+08 1.53E+08 1.16E+08 8.53E+07 6.10E+07 4.24E+07 2.88E+07 1.90E+07 1.22E+07 7.62E+06 4.64E+06 2.76E+06 1.60E+06 9.01E+05 4.96E+05 2.66E+05 1.39E+05 7.09E+04
  22.50  1.315  6.91E+10 2.38E+10 3.72E+11 5.34E+08 1.03E+09 1.46E+09 1.80E+09 2.03E+09 2.15E+09 2.17E+09 2.09E+09 1.94E+09 1.74E+09 1.50E+09 1.26E+09 1.03E+09 8.16E+08 6.29E+08 4.72E+08 3.45E+08 2.45E+08 1.70E+08 1.15E+08 7.57E+07 4.86E+07 3.05E+07 1.87E+07 1.11E+07 6.49E+06 3.69E+06 2.05E+06 1.11E+06 5.87E+05
  25.00  1.387  3.42E+11 1.09E+11 1.75E+12 2.34E+09 4.52E+09 6.43E+09 7.95E+09 9.01E+09 9.60E+09 9.73E+09 9.45E+09 8.84E+09 8.00E+09 7.01E+09 5.96E+09 4.93E+09 3.96E+09 3.10E+09 2.36E+09 1.76E+09 1.27E+09 9.01E+08 6.22E+08 4.19E+08 2.75E+08 1.77E+08 1.11E+08 6.80E+07 4.07E+07 2.38E+07 1.36E+07 7.61E+06 4.16E+06
