##
## Parameters for 239U 
##
## Level density
##
fisbaradjust     90 235   1.00000  1
fishwadjust      90 235   1.00000  1
class2width      90 235   0.20000  1
Rtransmom        90 235   0.60000  1
Rclass2mom       90 235   1.00000  1
fisbar           90 235   7.60000  2
fishw            90 235   0.60000  2
fisbaradjust     90 235   1.00000  2
fishwadjust      90 235   1.00000  2
Rtransmom        90 235   1.00000  2
Rclass2mom       90 235   1.00000  2
##--------------------------------------------
##
## Parameters for 237U 
##
## Level density
##
a                92 237  30.63208
aadjust          92 237   1.00000
gammald          92 237   0.07417
pair             92 237   0.77948
Pshift           92 237   0.00000   0
Pshiftadjust     92 237   0.00000   0
deltaW           92 237   2.74526   0
T                92 237   0.39671   0
E0               92 237  -0.74788   0
Exmatch          92 237   4.20829   0
Tadjust          92 237   1.00000   0
E0adjust         92 237   1.00000   0
Exmatchadjust    92 237   1.00000   0
Ntop             92 237  21   0
Nlow             92 237   7   0
s2adjust         92 237   1.00000   0
ctable           92 237   0.00000
ptable           92 237   0.00000
Krotconstant     92 237   1.00000   0
Pshift           92 237   0.00000   1
Pshiftadjust     92 237   0.00000   1
deltaW           92 237   1.83017   1
T                92 237   0.42972   1
E0               92 237  -2.30919   1
Exmatch          92 237   6.01208   1
Tadjust          92 237   1.00000   1
E0adjust         92 237   1.00000   1
Exmatchadjust    92 237   1.00000   1
Ntop             92 237   9   1
Nlow             92 237   2   1
s2adjust         92 237   1.00000   1
ctable           92 237   0.00000
ptable           92 237   0.00000
Krotconstant     92 237   1.00000   1
Pshift           92 237   0.00000   2
Pshiftadjust     92 237   0.00000   2
deltaW           92 237   1.83017   2
T                92 237   0.50252   2
E0               92 237  -4.95292   2
Exmatch          92 237   6.77712   2
Tadjust          92 237   1.00000   2
E0adjust         92 237   1.00000   2
Exmatchadjust    92 237   1.00000   2
Ntop             92 237  17   2
Nlow             92 237   2   2
s2adjust         92 237   1.00000   2
ctable           92 237   0.00000
ptable           92 237   0.00000
Krotconstant     92 237   1.00000   2
D0               92 237 1.50000E-02
g                92 237  15.80000
gp               92 237   6.13333
gn               92 237   9.66667
gnadjust         92 237   1.00000
gpadjust         92 237   1.00000
##
## Gamma-ray
##
gamgam           92 237   0.02300
gamgamadjust     92 237   1.00000
sgr              92 237 705.810 E1
egr              92 237  13.323 E1
ggr              92 237   3.655 E1
sgradjust        92 237   1.000 E1
egradjust        92 237   1.000 E1
ggradjust        92 237   1.000 E1
sgr              92 237   1.113 M1
egr              92 237   6.625 M1
ggr              92 237   4.000 M1
sgradjust        92 237   1.000 M1
egradjust        92 237   1.000 M1
ggradjust        92 237   1.000 M1
sgr              92 237   0.597 E2
egr              92 237  10.180 E2
ggr              92 237   3.266 E2
sgradjust        92 237   1.000 E2
egradjust        92 237   1.000 E2
ggradjust        92 237   1.000 E2
sgr              92 237   0.001 M2
egr              92 237   6.625 M2
ggr              92 237   4.000 M2
sgradjust        92 237   1.000 M2
egradjust        92 237   1.000 M2
ggradjust        92 237   1.000 M2
##
## Fission parameters
##
fisbar           92 237   5.70000  1
fishw            92 237   0.70000  1
fisbaradjust     92 237   1.00000  1
fishwadjust      92 237   1.00000  1
class2width      92 237   0.10000  1
Rtransmom        92 237   0.60000  1
Rclass2mom       92 237   1.00000  1
fisbar           92 237   5.00000  2
fishw            92 237   0.40000  2
fisbaradjust     92 237   1.00000  2
fishwadjust      92 237   1.00000  2
Rtransmom        92 237   1.00000  2
Rclass2mom       92 237   1.00000  2
##--------------------------------------------
##
## Parameters for 235Pa
##
## Level density
##
a                91 235  30.88539
aadjust          91 235   1.00000
gammald          91 235   0.07438
pair             91 235   0.78279
Pshift           91 235   0.00000   0
Pshiftadjust     91 235   0.00000   0
deltaW           91 235   3.45907   0
T                91 235   0.36276   0
E0               91 235  -0.34712   0
Exmatch          91 235   3.56379   0
Tadjust          91 235   1.00000   0
E0adjust         91 235   1.00000   0
Exmatchadjust    91 235   1.00000   0
Ntop             91 235  15   0
Nlow             91 235   8   0
s2adjust         91 235   1.00000   0
ctable           91 235   0.00000
ptable           91 235   0.00000
Krotconstant     91 235   1.00000   0
